Source,Target,Type,Id,Label,Weight
117,62,Undirected,2175,,3
117,22,Undirected,2177,,4
117,67,Undirected,2179,,10
117,75,Undirected,2183,,4
117,126,Undirected,2184,,4
118,62,Undirected,2197,,4
118,22,Undirected,2199,,5
118,67,Undirected,2201,,6
118,111,Undirected,2204,,5
118,128,Undirected,2208,,5
119,120,Undirected,2211,,3
119,19,Undirected,2215,,3
119,22,Undirected,2220,,3
119,67,Undirected,2222,,4
119,75,Undirected,2226,,3
120,19,Undirected,2235,,3
120,62,Undirected,2238,,3
120,22,Undirected,2240,,4
120,67,Undirected,2242,,6
120,75,Undirected,2246,,5
120,126,Undirected,2247,,3
120,127,Undirected,2248,,3
48,121,Undirected,2252,,4
48,19,Undirected,2254,,7
48,125,Undirected,2257,,3
48,111,Undirected,2258,,3
48,127,Undirected,2260,,3
48,128,Undirected,2261,,3
48,24,Undirected,2262,,9
121,22,Undirected,2270,,4
121,124,Undirected,2271,,3
121,67,Undirected,2272,,4
121,128,Undirected,2279,,3
121,24,Undirected,2280,,4
122,19,Undirected,2282,,6
122,54,Undirected,2284,,5
122,124,Undirected,2288,,4
122,67,Undirected,2289,,8
122,111,Undirected,2292,,3
122,126,Undirected,2294,,5
122,127,Undirected,2295,,3
122,24,Undirected,2297,,4
19,54,Undirected,2300,,4
19,62,Undirected,2301,,4
19,124,Undirected,2302,,3
19,67,Undirected,2303,,12
19,71,Undirected,2304,,3
19,111,Undirected,2306,,3
19,75,Undirected,2307,,3
19,126,Undirected,2308,,3
19,127,Undirected,2309,,3
19,129,Undirected,2311,,3
123,67,Undirected,2317,,3
123,128,Undirected,2324,,3
54,111,Undirected,2329,,3
54,127,Undirected,2331,,3
54,24,Undirected,2333,,4
62,111,Undirected,2337,,4
62,128,Undirected,2340,,7
62,24,Undirected,2341,,5
62,129,Undirected,2342,,3
21,126,Undirected,2346,,3
21,128,Undirected,2348,,3
21,129,Undirected,2349,,3
22,127,Undirected,2353,,3
22,128,Undirected,2354,,7
124,67,Undirected,2356,,4
124,24,Undirected,2364,,3
67,125,Undirected,2366,,5
67,111,Undirected,2367,,15
67,126,Undirected,2368,,8
67,127,Undirected,2369,,4
67,128,Undirected,2370,,16
67,24,Undirected,2371,,17
67,129,Undirected,2372,,4
125,24,Undirected,2385,,5
111,128,Undirected,2390,,6
111,24,Undirected,2391,,4
